,mean,std
Hstory,140.2170641,13.33705224
asRatio_Beam3,0.017595174,0.00529536
ϴp_Col_In7,0.020054233,0.008040423
Mbuilding,17.22853507,1.768253096
ϴpc_Beam3,0.22585254,0.069197461
ϴpc_Col_In7,0.112928634,0.032878192
Zbeam1,418.6501761,140.8290322
Icol_In1,8533.890758,3213.587275
asRatio_Beam7,0.020415559,0.00577791
ϴp_Col_Ex5,0.017573137,0.009732186
